MWP,GLON,GLAT,Disp,MajAxis,MinAxis,Reff,e_Reff,theta,e_theta,Ecc,HR2,HR3,RelFlag,HierFlag,IDDR1,IDA14,Dist,IDCW,Simbad,_RA.icrs,_DE.icrs,rank
2G3139953-0010911,313.9953,-0.1091,0.6,1.52,1.28,1.41,0.43,163,109,0.54,0.04,0.15,R,,1G313995-001109,,,,Simbad,216.1483,-60.964,3
2G3367791-0001385,336.7792,-0.0138,0.56,2.44,1.73,2.11,0.36,5,115,0.7,0.1,0.17,R,,,,,,Simbad,248.6618,-47.669,3
2G0562654-0027789,56.2655,-0.2779,0.66,0.95,0.71,0.84,0.29,26,88,0.66,0.23,0.15,R,,1G056266-002766,G056.261-00.281,,,Simbad,294.2463,20.5053,3
2G3288142+0031373,328.8142,0.3137,0.46,1.26,0.95,1.11,0.19,71,109,0.66,0.06,0.36,R,,1G328814+003154,G328.814+00.313,,,Simbad,239.2993,-52.9593,3
2G3444003+0005283,344.4004,0.0528,0.09,0.43,0.31,0.37,0.04,81,80,0.7,,0.16,C,,,,,,Simbad,255.5112,-41.7949,3
2G3500903+0009052,350.0903,0.0905,0.28,0.5,0.28,0.4,0.1,3,16,0.82,,0.22,C,,,G350.092+00.087,,,Simbad,259.8447,-37.1891,3
2G0500188-0005354,50.0188,-0.0535,1.14,2.1,1.82,1.96,0.5,27,67,0.5,,0.2,C,,1G050015-000475,,,,Simbad,290.8872,15.1337,3
2G0132080-0018024,13.2081,-0.1802,0.14,0.88,0.63,0.77,0.07,37,47,0.69,,0.25,C,,1G013209-001804,G013.205-00.183,,,Simbad,273.7409,-17.5652,3
2G3067440+0026398,306.744,0.264,0.27,1.89,1.44,1.68,0.27,20,80,0.64,0.37,0.51,R,,1G306742+002620,G306.740+00.264,,S147,Simbad,201.0999,-62.3635,3
2G0238270+0013586,23.8271,0.1359,0.05,0.27,0.17,0.22,0.05,29,156,0.76,,0.17,C,,,G023.826+00.135,,,Simbad,278.5581,-8.0334,3
2G0503091+0066216,50.3092,0.6622,0.17,0.28,0.21,0.25,0.08,124,88,0.67,,0.15,C,,,,,,Simbad,290.3745,15.7272,3
2G3363508-0023883,336.3508,-0.2388,1.55,2.49,1.81,2.18,0.72,22,83,0.69,0.06,0.13,R,,1G336348-002474,,,,Simbad,248.4754,-48.1365,3
2G3123076+0066935,312.3077,0.6694,0.04,0.25,0.16,0.21,0.02,138,84,0.76,,0.34,C,,,G312.307+00.669,,,Simbad,212.3497,-60.7753,3
2G0025848-0000801,2.5848,-0.008,0.09,0.57,0.39,0.49,0.05,172,64,0.73,,0.14,C,,1G002585-000053,G002.584-00.008,,,Simbad,267.9201,-26.7257,3
2G0547524+0074391,54.7524,0.7439,0.13,0.68,0.48,0.59,0.08,13,118,0.71,0.07,0.17,R,,1G054753+007453,G054.753+00.745,,,Simbad,292.5143,19.676,3
2G3375300-0040422,337.5301,-0.4042,0.13,0.66,0.51,0.59,0.14,158,127,0.63,0.24,0.28,R,,1G337530-004036,G337.527-00.402,,,Simbad,249.8367,-47.3745,3
2G3501963+0001328,350.1964,0.0133,0.37,1.18,1.0,1.09,0.21,34,90,0.53,,0.2,C,,1G350195+000147,G350.201+00.013,,,Simbad,260.0004,-37.1464,3
2G3340155+0011076,334.0156,0.1108,0.35,0.81,0.58,0.7,0.25,100,116,0.69,0.09,0.12,C,,,G334.022+00.106,,,Simbad,245.6351,-49.5803,3
2G3280352-0047978,328.0352,-0.4798,2.03,3.97,2.86,3.46,1.17,58,94,0.69,0.05,0.09,C,,,G328.029-00.488,,,Simbad,239.1569,-54.068,3
2G3474884+0017434,347.4884,0.1744,1.16,7.85,6.3,7.12,1.46,132,84,0.6,0.07,0.09,C,,1G347529+002163,G347.495+00.171,,,Simbad,257.8288,-39.2554,3
2G0240211+0005449,24.0211,0.0545,0.09,0.38,0.26,0.32,0.05,125,84,0.71,,0.19,C,,,G024.019+00.053,,,Simbad,278.7213,-7.8987,3
2G0447056+0005015,44.7057,0.0502,0.61,1.46,1.03,1.26,0.37,100,103,0.71,0.22,0.11,R,,1G044706+000540,G044.704+00.048,,,Simbad,288.2435,10.4863,3
2G0408431-0021837,40.8432,-0.2184,1.74,2.09,1.6,1.86,0.85,38,120,0.64,0.07,0.13,R,,1G040849-002181,G040.855-00.224,,,Simbad,286.6806,6.9359,3
2G3273159-0054990,327.316,-0.5499,0.17,0.57,0.43,0.5,0.11,18,76,0.65,0.1,0.09,C,,1G327314-005502,,,,Simbad,238.2848,-54.5813,3
2G3411153-0018790,341.1153,-0.1879,0.68,2.87,2.23,2.57,0.73,56,78,0.63,,0.2,C,,1G341137-001890,G341.125-00.188,,,Simbad,252.9573,-44.5117,3
2G0251186+0046537,25.1187,0.4654,0.14,0.63,0.54,0.59,0.1,6,96,0.52,0.17,0.23,R,,1G025119+004642,,,,Simbad,278.8629,-6.7352,3
2G0437924+0013761,43.7924,0.1376,0.09,0.34,0.28,0.31,0.09,67,97,0.57,0.07,0.21,R,,1G043793+001376,G043.793+00.138,,,Simbad,287.7354,9.7172,3
2G3457835-0017252,345.7835,-0.1725,0.11,0.38,0.35,0.37,0.1,35,96,0.39,0.26,0.29,R,,1G345784-001726,G345.783-00.172,,,Simbad,256.8661,-40.8315,3
2G0454698+0012452,45.4698,0.1245,0.15,0.42,0.24,0.34,0.08,70,60,0.83,0.13,0.14,R,,,,,,Simbad,288.5374,11.1976,3
2G0026063+0018069,2.6063,0.1807,0.43,1.3,0.98,1.15,0.25,25,94,0.66,0.1,0.17,R,,,G002.600+00.174,,CN33,Simbad,267.7509,-26.6107,3
2G0347587+0001900,34.7587,0.019,0.14,0.61,0.42,0.53,0.08,82,70,0.73,,0.15,C,,,G034.756+00.022,7.0,,Simbad,283.6758,1.6344,3
2G3315152-0004930,331.5153,-0.0493,0.62,1.71,1.11,1.44,0.37,95,123,0.76,0.06,0.13,R,,1G331522-000474,,,,Simbad,242.9871,-51.4358,3
2G0288514+0006093,28.8515,0.0609,0.84,1.15,0.86,1.01,0.35,47,109,0.67,,0.13,C,,,G028.861+00.065,7.4,,Simbad,280.9421,-3.6031,3
2G3042621-0039097,304.2621,-0.391,0.44,0.83,0.73,0.78,0.33,24,84,0.47,0.19,0.2,R,,1G304263-003919,G304.264-00.393,,,Simbad,195.814,-63.2322,3
2G3502782-0030301,350.2783,-0.303,0.21,1.16,0.93,1.05,0.16,26,91,0.6,,0.17,C,,1G350280-003033,G350.276-00.301,,,Simbad,260.3852,-37.2596,3
2G0350554+0033761,35.0555,0.3376,0.34,1.78,1.37,1.59,0.18,23,60,0.64,,0.14,C,,1G035054+003345,G035.063+00.330,10.2,,Simbad,283.5275,2.0439,3
2G3512385-0001367,351.2386,-0.0137,0.12,0.52,0.44,0.48,0.17,35,78,0.53,0.41,0.23,R,,1G351238-000155,G351.238-00.013,,,Simbad,260.7679,-36.3047,3
2G0026964+0003216,2.6965,0.0322,0.09,0.46,0.31,0.39,0.06,5,57,0.73,0.23,0.13,R,,1G002696+000354,G002.696+00.033,,CN34,Simbad,267.9453,-26.6091,3
2G3527598-0034918,352.7598,-0.3492,0.11,0.25,0.23,0.24,0.06,178,35,0.41,,0.29,C,,,G352.760-00.350,,,Simbad,262.16,-35.2319,3
2G0536152-0024302,53.6153,-0.243,0.14,0.59,0.41,0.51,0.09,67,75,0.72,,0.2,C,,1G053614-002437,G053.610-00.246,,,Simbad,292.8516,18.2045,3
2G3368669+0001198,336.867,0.012,0.07,0.51,0.32,0.42,0.03,37,50,0.78,,0.16,C,,,,,,Simbad,248.7217,-47.5869,3
2G3300232-0049380,330.0232,-0.4938,0.92,1.29,1.01,1.16,0.4,47,98,0.62,0.06,0.34,R,,1G330027-004975,G330.028-00.493,,,Simbad,241.6878,-52.7726,3
2G0203315+0024988,20.3316,0.2499,0.15,0.53,0.38,0.46,0.07,26,47,0.7,,0.17,C,,1G020333+002527,G020.335+00.252,,,Simbad,276.8141,-11.0788,3
2G3455977-0022089,345.5978,-0.2209,0.1,0.42,0.36,0.4,0.11,35,107,0.52,0.27,0.35,R,,1G345598-002201,G345.599-00.221,,,Simbad,256.7698,-41.009,3
2G3459115-0025809,345.9115,-0.2581,0.29,1.22,0.91,1.08,0.25,31,60,0.67,0.17,0.2,R,,1G345913-002554,G345.915-00.257,,,Simbad,257.058,-40.7803,3
2G3091502-0020632,309.1503,-0.2063,1.11,2.47,1.48,2.03,0.66,6,97,0.8,0.12,0.32,R,,1G309152-002069,G309.151-00.215,,,Simbad,206.3907,-62.4228,3
2G3177195-0019096,317.7196,-0.191,1.42,3.43,2.08,2.84,0.74,115,110,0.8,0.03,0.12,C,,1G317752-001830,G317.765-00.195,,,Simbad,223.0952,-59.5448,3
2G3123250-0035579,312.325,-0.3558,0.38,1.35,1.12,1.24,0.23,27,86,0.56,0.1,0.2,R,,1G312321-003540,G312.325-00.357,,,Simbad,213.0277,-61.7474,3
2G3459373-0001771,345.9373,-0.0177,0.19,0.48,0.37,0.43,0.09,9,40,0.65,0.09,0.13,R,,1G345937-000185,G345.936-00.020,,,Simbad,256.8245,-40.6155,3
2G0547834+0086030,54.7835,0.8603,0.17,1.6,1.35,1.48,0.12,168,50,0.54,,0.21,C,,1G054785+008669,G054.779+00.862,4.9,,Simbad,292.4216,19.7591,3
2G0392267-0005054,39.2268,-0.0505,0.23,0.53,0.42,0.48,0.12,40,140,0.61,0.09,0.13,R,,1G039226-000482,G039.225-00.053,11.8,,Simbad,285.7841,5.5769,3
2G3551951-0003577,355.1952,-0.0358,0.05,0.11,0.1,0.11,0.08,85,111,0.4,0.12,0.2,R,,,G355.195-00.037,,CS37,Simbad,263.4578,-33.0238,3
2G3412883-0008272,341.2884,-0.0827,0.07,0.31,0.25,0.28,0.06,170,47,0.59,0.16,0.31,R,,,G341.289-00.083,,,Simbad,252.9978,-44.3112,3
2G0292240-0026937,29.2241,-0.2694,0.17,1.3,1.19,1.25,0.09,74,68,0.4,,0.14,C,D,,G029.224-00.271,,,Simbad,281.407,-3.4225,3
2G0119034-0013728,11.9035,-0.1373,0.81,0.88,0.72,0.8,0.29,53,87,0.57,0.09,0.05,C,,,G011.890-00.134,,,Simbad,273.0439,-18.69,3
2G3515289-0054235,351.529,-0.5423,0.46,4.96,4.12,4.56,0.3,112,105,0.55,,0.2,C,,1G351498-005316,G351.516-00.540,,,Simbad,261.5132,-36.3619,3
2G0596039+0032403,59.6039,0.324,0.2,1.91,1.73,1.82,0.17,32,51,0.42,,0.26,C,,1G059602+003212,G059.600+00.316,4.3,N126,Simbad,295.4539,23.7078,3
2G0237025+0016745,23.7026,0.1675,0.05,0.28,0.19,0.24,0.03,52,71,0.74,,0.33,C,,,G023.705+00.165,6.0,,Simbad,278.4718,-8.1293,3
