MWP,GLON,GLAT,Disp,MajAxis,MinAxis,Reff,e_Reff,theta,e_theta,Ecc,HR2,HR3,RelFlag,HierFlag,IDDR1,IDA14,Dist,IDCW,Simbad,_RA.icrs,_DE.icrs,rank
2G3329546+0077013,332.9547,0.7701,0.44,1.26,0.92,1.1,0.29,48,55,0.68,,0.28,C,D,,,,,Simbad,243.7493,-49.8516,1
2G0349980+0033339,34.9981,0.3334,0.34,2.06,1.75,1.91,0.31,179,100,0.53,0.25,0.41,R,,1G035001+003318,G034.997+00.330,2.3,N65,Simbad,283.5051,1.9909,1
2G3360295-0081987,336.0296,-0.8199,0.14,0.62,0.5,0.56,0.16,17,111,0.6,0.3,0.28,R,,1G336028-008195,G336.026-00.817,,,Simbad,248.7923,-48.7663,1
2G3310544-0043174,331.0544,-0.4317,0.14,0.5,0.39,0.45,0.11,21,100,0.62,0.1,0.21,R,,1G331055-004322,G331.056-00.437,,,Simbad,242.8645,-52.0298,1
2G3031647+0042579,303.1648,0.4258,0.17,0.53,0.45,0.49,0.15,83,104,0.52,0.18,0.23,R,,1G303165+004258,G303.163+00.422,,,Simbad,193.3629,-62.445,1
2G3289984+0095835,328.9985,0.9584,0.09,0.73,0.63,0.68,0.13,40,78,0.51,,0.36,C,,1G328998+009559,G328.999+00.954,,,Simbad,238.8492,-52.3468,1
2G3107663-0040082,310.7664,-0.4008,0.1,0.42,0.29,0.36,0.09,23,59,0.71,0.21,0.15,R,,1G310765-003999,G310.766-00.403,,,Simbad,209.8722,-62.233,1
2G0289987-0060526,28.9988,-0.6053,0.37,2.42,2.0,2.22,0.22,9,63,0.57,0.04,0.13,R,,1G028991-006023,G028.983-00.604,3.5,,Simbad,281.6034,-3.7762,1
2G3238048+0002065,323.8049,0.0207,0.85,1.46,1.17,1.32,0.52,52,123,0.6,0.28,0.47,R,,1G323803+000231,G323.806+00.020,,S85,Simbad,232.7427,-56.2444,1
2G3132783-0032819,313.2783,-0.3282,1.15,1.46,1.16,1.32,0.81,15,96,0.61,0.12,0.16,R,,1G313279-003306,G313.281-00.325,,,Simbad,214.9066,-61.4157,1
2G3277704-0034396,327.7704,-0.344,0.34,1.16,0.96,1.06,0.15,14,68,0.56,,0.19,C,,1G327770-003461,G327.770-00.346,4.6,,Simbad,238.6617,-54.1334,1
2G0309120+0016150,30.9121,0.1615,0.15,0.55,0.48,0.52,0.1,48,122,0.46,0.19,0.21,R,,1G030912+001614,G030.906+00.161,7.3,,Simbad,281.7944,-1.7239,1
2G3330194+0074870,333.0194,0.7487,0.05,0.13,0.12,0.12,0.05,71,73,0.39,0.08,0.33,R,,,G333.019+00.747,3.3,,Simbad,243.8448,-49.8224,1
2G3128114-0001408,312.8115,-0.0141,0.12,0.4,0.26,0.34,0.09,152,95,0.75,0.07,0.13,R,,,G312.812-00.015,,,Simbad,213.7729,-61.2709,1
2G0188829+0004768,18.8829,0.0477,0.25,0.75,0.6,0.68,0.23,27,73,0.61,0.2,0.16,R,,,G018.884+00.049,,,Simbad,276.3068,-12.4546,1
2G0495863-0037536,49.5864,-0.3754,0.2,1.02,0.92,0.97,0.14,50,92,0.44,0.22,0.49,R,D,1G049586-003716,G049.589-00.370,5.5,,Simbad,290.9692,14.6005,1
2G0058964-0045843,5.8964,-0.4584,1.71,5.78,5.02,5.42,1.07,39,90,0.5,0.2,0.39,R,P,1G005899-004548,G005.887-00.443,3.0,CN71,Simbad,270.1956,-24.0901,1
2G3429163-0011993,342.9163,-0.1199,0.14,0.63,0.46,0.55,0.12,41,79,0.68,0.29,0.32,R,,1G342915-001231,G342.916-00.120,,,Simbad,254.4539,-43.069,1
2G0214268-0065820,21.4269,-0.6582,0.15,0.7,0.53,0.62,0.13,151,36,0.65,,0.15,C,,1G021423-006577,G021.424-00.661,,,Simbad,278.1502,-10.5293,1
2G3165194-0060160,316.5195,-0.6016,0.54,1.24,0.99,1.12,0.39,39,112,0.61,0.41,0.36,R,,1G316519-005993,G316.516-00.600,,S114,Simbad,221.2937,-60.4376,1
2G3290937-0030598,329.0938,-0.306,0.11,0.45,0.36,0.41,0.1,53,68,0.61,0.13,0.07,R,,1G329094-003052,G329.093-00.305,,,Simbad,240.3244,-53.2481,1
2G3320002-0011482,332.0003,-0.1148,0.17,0.62,0.53,0.58,0.16,68,104,0.52,0.24,0.3,R,,1G332001-001168,G332.002-00.115,,,Simbad,243.6232,-51.1506,1
2G3108874+0001000,310.8875,0.01,0.11,0.46,0.37,0.42,0.15,36,96,0.59,0.26,0.22,R,,1G310888+000101,G310.887+00.009,5.6,S139,Simbad,209.8933,-61.8048,1
2G3511722+0048064,351.1723,0.4806,1.6,3.06,2.43,2.76,1.0,11,106,0.61,0.2,0.53,R,,1G351170+004718,,,CS90,Simbad,260.2172,-36.0785,1
2G3503308+0015205,350.3308,0.1521,0.27,1.62,1.1,1.39,0.23,29,67,0.73,0.14,0.08,R,,,G350.340+00.164,,CS105,Simbad,259.9542,-36.9567,1
2G0228769+0015600,22.8769,0.156,0.08,0.37,0.26,0.32,0.05,28,92,0.72,0.15,0.14,R,,,G022.876+00.153,,,Simbad,278.0969,-8.8672,1
2G3420755+0043311,342.0756,0.4331,0.33,1.3,1.15,1.23,0.33,5,97,0.48,0.4,0.36,R,,1G342073+004320,,,S18,Simbad,253.1386,-43.3756,1
2G3058024+0001722,305.8024,0.0172,0.08,0.31,0.25,0.28,0.05,39,110,0.56,0.09,0.19,R,,1G305803+000171,G305.805+00.017,,,Simbad,199.131,-62.7146,1
2G3574598+0061122,357.4599,0.6112,0.34,0.76,0.56,0.67,0.25,14,108,0.68,0.28,0.21,R,,1G357461+006093,G357.462+00.605,,CS22,Simbad,264.2577,-30.7686,1
2G3424336-0023237,342.4337,-0.2324,0.27,0.82,0.59,0.72,0.24,73,109,0.69,0.26,0.3,R,,1G342434-002329,G342.432-00.233,,,Simbad,254.1613,-43.5165,1
2G3336031-0000891,333.6031,-0.0089,0.32,0.49,0.35,0.43,0.12,26,83,0.71,0.03,0.12,C,,1G333603-000099,G333.603-00.009,,,Simbad,245.3145,-49.9566,1
2G3545878+0000560,354.5879,0.0056,0.17,1.19,1.12,1.16,0.22,32,109,0.36,0.55,0.64,R,,1G354588+000038,G354.589+00.005,,CS47,Simbad,263.0203,-33.5104,1
2G0061563-0060975,6.1563,-0.6098,0.14,0.67,0.59,0.63,0.09,45,84,0.47,0.13,0.23,R,,1G006158-006085,G006.160-00.608,,CN78,Simbad,270.4805,-23.9392,1
2G0088274-0038467,8.8274,-0.3847,0.26,0.92,0.73,0.83,0.26,36,95,0.61,0.15,0.29,R,,1G008828-003841,G008.825-00.387,,CN122,Simbad,271.6891,-21.5016,1
2G0517552+0070118,51.7553,0.7012,1.76,2.01,1.3,1.69,0.96,94,101,0.76,0.13,0.16,R,,1G051766+007106,G051.779+00.713,10.7,,Simbad,291.0498,17.0206,1
2G3344213-0024892,334.4213,-0.2489,0.08,0.47,0.35,0.42,0.11,50,68,0.66,0.52,0.37,R,,1G334421-002485,G334.422-00.251,,S45,Simbad,246.4691,-49.5436,1
2G0487324-0014174,48.7325,-0.1417,0.11,1.01,0.91,0.96,0.18,37,72,0.44,,0.32,C,,1G048733-001424,G048.731-00.141,,,Simbad,290.3409,13.9578,1
2G3317864-0013295,331.7865,-0.133,0.23,0.45,0.33,0.4,0.13,22,129,0.67,0.12,0.11,R,,,G331.786-00.133,,,Simbad,243.3955,-51.311,1
2G0106232-0031596,10.6233,-0.316,0.23,0.56,0.38,0.48,0.13,37,84,0.72,0.18,0.31,R,,1G010624-003166,G010.621-00.318,19.8,,Simbad,272.5564,-19.8979,1
2G3462605+0028771,346.2605,0.2877,0.12,0.33,0.25,0.29,0.08,24,77,0.65,,0.22,C,,1G346261+002880,G346.259+00.288,,,Simbad,256.7589,-40.1737,1
2G3127609+0007162,312.761,0.0716,0.3,0.75,0.55,0.66,0.2,43,132,0.69,0.27,0.24,R,,1G312760+000734,G312.764+00.067,,S125,Simbad,213.617,-61.2056,1
2G0387371-0014120,38.7371,-0.1412,0.28,0.99,0.86,0.92,0.26,38,16,0.5,0.26,0.41,R,,1G038740-001385,G038.738-00.140,9.2,N73,Simbad,285.6398,5.1,1
2G3484089+0014895,348.409,0.1489,0.12,0.62,0.55,0.59,0.11,42,87,0.45,0.27,0.38,R,,1G348407+001484,G348.409+00.148,,S5,Simbad,258.5509,-38.5258,1
2G0419307+0003246,41.9308,0.0325,0.31,1.59,1.27,1.44,0.29,50,66,0.61,0.41,0.51,R,,1G041931+000351,G041.929+00.030,11.3,N80,Simbad,286.9606,8.017,1
2G0081228-0047126,8.1229,-0.4713,0.93,5.39,5.1,5.24,0.86,28,96,0.33,0.41,0.63,R,,1G008122-004823,G008.123-00.482,,CN108,Simbad,271.4,-22.1587,1
2G3306743-0038856,330.6743,-0.3886,0.18,1.21,0.77,1.01,0.29,63,81,0.77,0.5,0.47,R,,1G330676-003859,G330.673-00.388,4.0,S67,Simbad,242.3623,-52.2564,1
2G0280071+0031709,28.0072,0.3171,0.3,1.76,1.34,1.57,0.24,81,112,0.65,,0.51,C,,1G028006+003153,G027.997+00.317,9.4,,Simbad,280.3267,-4.2367,1
2G3449923-0026324,344.9924,-0.2632,0.08,0.45,0.39,0.42,0.11,72,121,0.47,,0.13,C,,1G344991-002642,G344.993-00.265,,,Simbad,256.3291,-41.5175,1
2G3236001+0000206,323.6001,0.0021,0.24,0.7,0.61,0.66,0.21,164,59,0.49,0.06,0.14,R,,,G323.602+00.000,,,Simbad,232.4582,-56.3763,1
2G0421043-0062297,42.1043,-0.623,0.33,1.67,1.55,1.61,0.45,22,105,0.38,0.43,0.5,R,,1G042104-006230,G042.103-00.623,7.7,N82,Simbad,287.6287,7.8686,1
2G3514785-0047276,351.4786,-0.4728,0.36,1.07,0.79,0.94,0.25,41,102,0.67,0.16,0.19,R,,1G351473-004628,,,CS84,Simbad,261.4067,-36.3647,1
2G3454828+0039977,345.4829,0.3998,0.4,2.22,2.04,2.13,0.32,49,93,0.4,0.25,0.57,R,,1G345484+004011,G345.486+00.399,,S11,Simbad,256.024,-40.7254,1
2G3281910-0048022,328.191,-0.4802,0.23,1.11,0.85,0.99,0.18,59,138,0.64,0.23,0.55,R,,1G328193-004780,G328.193-00.479,,,Simbad,239.36,-53.9679,1
2G0338290-0016215,33.829,-0.1621,0.12,0.24,0.19,0.21,0.08,66,81,0.62,0.14,0.1,R,,1G033830-001622,G033.829-00.163,,,Simbad,283.4128,0.7245,1
2G3017509+0028355,301.7509,0.2836,0.08,0.35,0.29,0.32,0.13,59,92,0.54,0.15,0.16,R,,,G301.751+00.283,,,Simbad,190.2956,-62.5646,1
2G3456940-0005476,345.6941,-0.0548,0.38,0.7,0.54,0.62,0.21,21,105,0.64,0.17,0.21,R,,1G345692-000553,G345.696-00.055,,,Simbad,256.6708,-40.8322,1
2G0493210-0041003,49.3211,-0.41,0.38,1.2,0.92,1.07,0.23,80,103,0.64,0.21,0.27,R,,1G049321-004225,G049.315-00.425,,,Simbad,290.8711,14.3503,1
2G3201660+0079627,320.166,0.7963,0.23,1.31,1.02,1.17,0.23,17,106,0.63,0.17,0.4,R,,1G320159+007984,G320.163+00.797,2.4,S96,Simbad,226.3444,-57.5234,1
2G3239210+0040036,323.9211,0.4004,0.12,0.55,0.42,0.49,0.18,154,90,0.65,0.22,0.25,R,,1G323920+004007,G323.921+00.399,,,Simbad,232.5266,-55.8661,1
2G0239807-0010951,23.9808,-0.1095,0.07,0.36,0.32,0.34,0.05,36,116,0.49,0.16,0.25,R,,1G023982-001096,G023.980-00.110,10.7,,Simbad,278.8496,-8.01,1
2G0083605-0029806,8.3606,-0.2981,0.46,1.21,1.05,1.13,0.32,57,123,0.51,0.18,0.4,R,D,1G008354-002977,G008.358-00.295,,CN114,Simbad,271.3625,-21.8666,1
2G3392111+0008659,339.2111,0.0866,0.3,0.42,0.29,0.36,0.17,159,88,0.74,0.04,0.08,C,,,G339.209+00.086,,,Simbad,250.9162,-45.7883,1
2G3546141+0048790,354.6141,0.4879,0.51,1.21,1.04,1.13,0.43,14,95,0.51,0.5,0.43,R,,1G354612+004841,G354.611+00.483,,CS46,Simbad,262.5548,-33.2238,1
2G3459283-0012793,345.9283,-0.1279,0.05,0.29,0.26,0.27,0.06,19,71,0.41,0.46,0.6,R,,1G345929-001302,G345.927-00.129,,,Simbad,256.9336,-40.6888,1
2G3055315-0040387,305.5316,-0.4039,0.1,0.45,0.4,0.42,0.09,6,104,0.44,0.14,0.17,R,,1G305532-004027,G305.533-00.402,,,Simbad,198.6248,-63.1592,1
2G3339631+0006229,333.9631,0.0623,0.18,0.63,0.44,0.54,0.23,133,121,0.72,0.28,0.32,R,,1G333963+000644,G333.962+00.063,,,Simbad,245.6309,-49.6517,1
2G3468728+0033006,346.8728,0.3301,0.07,0.67,0.58,0.63,0.07,26,71,0.48,,0.38,C,,1G346873+003295,G346.873+00.330,17.5,,Simbad,257.1928,-39.658,1
2G0564500-0048576,56.45,-0.4858,0.22,0.61,0.49,0.55,0.2,23,128,0.59,0.18,0.1,R,,1G056450-004861,G056.449-00.486,,,Simbad,294.5363,20.5644,1
2G0186790-0023498,18.6791,-0.235,0.15,0.58,0.46,0.53,0.17,9,94,0.61,0.27,0.24,R,,1G018679-002347,G018.677-00.236,,N23,Simbad,276.4654,-12.7669,1
2G3312626-0018387,331.2627,-0.1839,0.36,1.49,1.21,1.35,0.18,30,74,0.59,,0.31,C,,1G331265-001854,G331.259-00.188,,,Simbad,242.8378,-51.7065,1
2G3337250+0036573,333.725,0.3657,0.43,0.77,0.46,0.63,0.28,39,66,0.8,0.09,0.16,R,,1G333726+003642,G333.725+00.364,,,Simbad,245.0399,-49.6048,1
2G3533075-0028340,353.3075,-0.2834,0.03,0.48,0.27,0.39,0.02,65,4,0.84,,0.15,C,,1G353308-002838,G353.308-00.285,,,Simbad,262.4626,-34.7391,1
2G0096648+0058667,9.6649,0.5867,0.14,0.72,0.51,0.62,0.18,38,47,0.7,,0.13,C,,1G009662+005892,G009.660+00.589,,,Simbad,271.2201,-20.2962,1
2G0152053+0020627,15.2053,0.2063,0.33,0.63,0.51,0.57,0.18,30,128,0.58,0.08,0.36,R,,1G015206+002045,G015.205+00.201,,,Simbad,274.378,-15.6248,1
2G0242151-0004410,24.2152,-0.0441,0.03,0.37,0.34,0.36,0.02,160,68,0.43,,0.27,C,,1G024216-000411,G024.217-00.044,10.4,N33,Simbad,278.8999,-7.7718,1
2G0522057+0075080,52.2057,0.7508,0.26,0.88,0.75,0.82,0.2,52,129,0.53,0.42,0.49,R,,1G052204+007513,G052.201+00.752,9.9,N111,Simbad,291.2273,17.4407,1
2G0509727+0007641,50.9728,0.0764,1.45,10.62,9.25,9.96,1.13,66,120,0.49,0.14,0.38,R,,1G050955+001074,G051.010+00.060,7.2,N107,Simbad,291.2372,16.0355,1
2G0303635-0026360,30.3635,-0.2636,1.76,4.31,2.93,3.69,1.05,12,88,0.73,0.12,0.35,R,,1G030354-002611,G030.338-00.252,8.2,,Simbad,281.9225,-2.406,1
2G3056881+0009793,305.6881,0.0979,0.17,0.85,0.76,0.8,0.14,72,100,0.46,0.13,0.17,R,,1G305687+000984,G305.685+00.096,,,Simbad,198.8664,-62.6452,1
2G0394864-0041037,39.4864,-0.4104,0.14,0.5,0.43,0.47,0.16,45,103,0.5,0.17,0.26,R,,1G039487-004100,G039.485-00.413,,,Simbad,286.2251,5.6425,1
2G3277017+0057211,327.7018,0.5721,0.7,1.67,1.16,1.43,0.49,23,85,0.72,0.31,0.36,R,,1G327699+005702,G327.714+00.576,,S72,Simbad,237.591,-53.467,1
2G0173184+0039111,17.3185,0.3911,0.24,0.94,0.76,0.85,0.29,15,108,0.59,0.2,0.26,R,,1G017318+003905,G017.315+00.389,,,Simbad,275.2422,-13.6752,1
2G3310598-0023125,331.0599,-0.2313,0.21,0.67,0.41,0.56,0.12,74,73,0.79,,0.17,C,,1G331057-002239,G331.057-00.229,,,Simbad,242.6497,-51.8793,1
2G3272357-0023864,327.2358,-0.2386,0.14,0.58,0.42,0.51,0.18,176,84,0.69,0.24,0.22,R,,1G327236-002383,G327.237-00.238,,,Simbad,237.8393,-54.3906,1
2G0186285+0030832,18.6286,0.3083,0.12,0.51,0.31,0.42,0.13,61,74,0.79,0.26,0.37,R,,1G018628+003098,G018.630+00.309,,,Simbad,275.949,-12.5575,1
2G3268989-0027895,326.8989,-0.2789,0.24,0.93,0.72,0.83,0.36,24,129,0.64,0.2,0.17,R,,1G326897-002783,G326.890-00.277,,,Simbad,237.4307,-54.6332,1
2G0368796+0049858,36.8796,0.4986,0.04,0.16,0.14,0.15,0.03,170,83,0.48,0.1,0.32,R,,,,,,Simbad,284.2173,3.7405,1
2G0327617-0014956,32.7617,-0.1496,0.13,0.44,0.34,0.39,0.19,55,93,0.65,0.34,0.41,R,,1G032762-001495,G032.761-00.151,,N57,Simbad,282.915,-0.2197,1
2G3362151+0015250,336.2151,0.1525,0.06,0.27,0.19,0.23,0.07,7,153,0.72,0.17,0.18,R,,1G336215+001526,G336.216+00.151,,,Simbad,247.9086,-47.9693,1
2G0458214-0029148,45.8214,-0.2915,0.41,0.89,0.59,0.75,0.36,39,57,0.75,0.27,0.42,R,,1G045822-002892,G045.825-00.291,6.6,,Simbad,289.0797,11.3153,1
2G3413574-0028753,341.3575,-0.2875,0.14,0.83,0.64,0.74,0.2,67,84,0.64,0.47,0.41,R,,1G341358-002876,G341.358-00.287,,S21,Simbad,253.2804,-44.3877,1
2G3199334-0063384,319.9335,-0.6339,0.04,0.36,0.27,0.32,0.03,156,48,0.68,,0.36,C,,1G319934-006331,G319.934-00.635,,,Simbad,227.3113,-58.8798,1
2G3056338-0065031,305.6338,-0.6503,0.1,0.74,0.55,0.65,0.13,88,111,0.67,0.14,0.27,R,,1G305633-006493,G305.629-00.649,,,Simbad,198.9013,-63.3952,1
2G3370915-0096271,337.0915,-0.9627,0.17,1.01,0.86,0.94,0.11,60,60,0.52,,0.41,C,,1G337096-009586,G337.091-00.965,,,Simbad,250.0235,-48.0734,1
2G3425472-0098003,342.5473,-0.98,0.14,1.01,0.81,0.92,0.11,173,128,0.61,0.18,0.14,R,,,G342.547-00.984,,,Simbad,255.0697,-43.8914,2
2G3178410+0015146,317.841,0.1515,0.75,1.3,0.93,1.13,0.34,42,84,0.7,,0.2,C,,,,,,Simbad,223.0074,-59.1841,2
2G3200982+0074342,320.0982,0.7434,0.11,0.45,0.3,0.38,0.11,14,134,0.74,0.06,0.35,R,,1G320098+007437,G320.098+00.744,,,Simbad,226.2826,-57.6027,2
2G3472593+0002260,347.2593,0.0226,0.54,0.65,0.46,0.56,0.17,45,70,0.7,0.05,0.07,C,,,G347.266+00.020,,,Simbad,257.8119,-39.5299,2
2G3479792-0046395,347.9792,-0.464,0.53,2.18,1.58,1.9,0.3,47,59,0.69,,0.23,C,,1G347977-004626,,,,Simbad,258.8682,-39.2325,2
2G3381470-0017495,338.147,-0.1749,0.49,1.85,1.47,1.67,0.24,72,117,0.61,0.12,0.1,R,,1G338135-001755,,,,Simbad,250.1864,-46.761,2
2G0528558-0053213,52.8558,-0.5321,2.05,5.35,4.61,4.99,1.27,39,112,0.51,0.09,0.26,R,,1G052845-005363,G052.799-00.534,,,Simbad,292.734,17.3996,2
2G0395847+0000573,39.5848,0.0057,0.08,0.3,0.23,0.27,0.1,85,56,0.66,,0.13,C,,,G039.585+00.005,,,Simbad,285.8988,5.9208,2
2G3575595-0055622,357.5596,-0.5562,0.16,0.41,0.3,0.36,0.18,37,132,0.69,0.11,0.16,R,,1G357560-005549,G357.561-00.556,,,Simbad,265.4729,-31.3058,2
2G0392914-0032619,39.2914,-0.3262,0.16,0.66,0.56,0.61,0.13,33,180,0.52,0.19,0.3,R,,1G039292-003259,G039.288-00.326,,,Simbad,286.0601,5.5079,2
2G3397854+0024403,339.7855,0.244,0.21,1.03,0.93,0.98,0.17,53,138,0.44,0.14,0.53,R,,1G339784+002461,G339.781+00.243,,,Simbad,251.2822,-45.2507,2
2G0162898-0016807,16.2898,-0.1681,0.34,1.84,1.29,1.59,0.25,71,60,0.71,,0.37,C,,1G016297-001733,G016.285-00.171,4.1,,Simbad,275.2513,-14.8461,2
2G0433057-0008887,43.3058,-0.0889,0.17,0.47,0.38,0.43,0.15,180,64,0.6,0.1,0.18,R,,1G043306-000863,G043.306-00.090,,,Simbad,287.711,9.181,2
2G0185209+0031119,18.521,0.3112,0.02,0.15,0.14,0.15,0.04,86,68,0.39,,0.18,C,,,G018.521+00.310,,,Simbad,275.8947,-12.6512,2
2G3497331+0017231,349.7332,0.1723,0.36,0.92,0.68,0.81,0.4,36,62,0.67,,0.17,C,,1G349728+001723,G349.728+00.168,20.0,,Simbad,259.5024,-37.4342,2
2G3015057+0055376,301.5057,0.5538,0.5,1.09,0.86,0.98,0.34,44,102,0.62,0.15,0.23,R,,1G301505+005543,G301.504+00.560,,,Simbad,189.7919,-62.284,2
2G0254576-0021642,25.4577,-0.2164,0.1,0.41,0.27,0.35,0.11,6,51,0.74,0.15,0.16,R,,,,,,Simbad,279.6296,-6.7473,2
2G0238487-0012684,23.8487,-0.1268,0.09,0.33,0.23,0.29,0.05,171,49,0.72,,0.28,C,,1G023849-001251,G023.847-00.128,,,Simbad,278.8037,-8.1352,2
2G0122152-0013792,12.2152,-0.1379,0.48,1.02,0.82,0.93,0.23,43,110,0.6,0.07,0.08,C,,,G012.217-00.139,,,Simbad,273.2023,-18.4168,2
2G3123877-0005621,312.3878,-0.0562,0.23,0.71,0.44,0.59,0.17,74,79,0.78,0.06,0.15,R,,1G312387-000586,G312.388-00.057,,,Simbad,212.9604,-61.443,2
2G0454228+0005857,45.4228,0.0586,0.52,1.5,1.23,1.37,0.42,37,112,0.57,0.08,0.24,R,,1G045432+000594,,,,Simbad,288.5747,11.1254,2
2G3106662-0044965,310.6662,-0.4497,0.18,0.84,0.73,0.79,0.15,43,122,0.48,0.18,0.25,R,,1G310670-004461,G310.672-00.450,,S140,Simbad,209.6915,-62.3061,2
2G0246999-0014878,24.6999,-0.1488,0.09,0.52,0.36,0.45,0.06,137,98,0.72,,0.22,C,,1G024699-001486,G024.700-00.149,,,Simbad,279.2185,-7.3895,2
2G3353621+0010969,335.3622,0.1097,0.06,0.37,0.27,0.33,0.04,159,53,0.69,,0.22,C,,1G335362+001103,G335.361+00.110,,,Simbad,247.0734,-48.6177,2
2G0067923-0001063,6.7923,-0.0106,0.06,0.66,0.37,0.54,0.09,157,108,0.83,,0.27,C,,,G006.793-00.010,,,Simbad,270.2559,-23.0901,2
2G0294772+0024159,29.4773,0.2416,0.14,0.44,0.34,0.39,0.07,30,55,0.64,,0.17,C,,1G029477+002419,G029.477+00.240,,,Simbad,281.0675,-2.9638,2
2G0318155-0012045,31.8156,-0.1205,0.34,1.0,0.76,0.89,0.19,161,99,0.66,,0.2,C,,1G031815-001194,G031.806-00.115,,,Simbad,282.4577,-1.0484,2
2G0305465+0001398,30.5466,0.014,0.07,0.26,0.21,0.24,0.04,41,59,0.6,,0.32,C,,,G030.547+00.014,11.4,,Simbad,281.7589,-2.1164,2
2G0378828-0040196,37.8829,-0.402,0.07,0.35,0.33,0.34,0.05,55,36,0.35,,0.19,C,,,,,,Simbad,285.48,4.2212,2
2G0281564-0003288,28.1564,-0.0329,0.09,0.39,0.35,0.37,0.08,13,102,0.45,0.13,0.14,R,,1G028156-000267,G028.156-00.031,,,Simbad,280.7073,-4.2642,2
2G3115981-0063362,311.5981,-0.6336,0.1,0.39,0.25,0.33,0.07,63,23,0.76,,0.18,C,,1G311600-006345,G311.597-00.635,14.7,,Simbad,211.7259,-62.2288,2
2G3168831-0046886,316.8831,-0.4689,0.31,2.27,1.57,1.95,0.31,56,125,0.72,,0.14,C,,,G316.892-00.471,,,Simbad,221.8426,-60.1622,2
2G3311077+0002795,331.1077,0.0279,0.13,1.15,1.03,1.09,0.13,42,72,0.45,0.21,0.45,R,,1G331107+000278,G331.105+00.024,,S63,Simbad,242.4222,-51.6565,2
2G3251006+0005285,325.1006,0.0529,1.51,4.12,3.37,3.76,0.86,62,103,0.57,0.2,0.36,R,,1G325102+000578,G325.108+00.053,,,Simbad,234.5873,-55.4646,2
2G0119439-0015739,11.9439,-0.1574,0.27,0.59,0.35,0.49,0.09,146,126,0.8,0.11,0.12,R,,1G011945-001577,G011.948-00.161,,,Simbad,273.083,-18.6642,2
2G0227298-0023756,22.7299,-0.2376,0.1,0.53,0.34,0.45,0.06,42,44,0.77,,0.14,C,,1G022733-002335,G022.730-00.239,,,Simbad,278.3817,-9.1793,2
2G0449090-0072669,44.9091,-0.7267,0.19,0.99,0.67,0.84,0.13,152,92,0.74,,0.18,C,,1G044910-007244,G044.904-00.733,6.0,,Simbad,289.039,10.3054,2
2G0485393+0046598,48.5394,0.466,0.56,3.77,3.28,3.53,0.41,22,115,0.49,0.13,0.22,R,,1G048544+004785,G048.542+00.464,,N99,Simbad,289.6944,14.0724,2
2G3240672-0081811,324.0672,-0.8181,0.8,4.3,3.46,3.9,0.84,68,144,0.59,0.33,0.38,R,,1G324062-008119,G324.071-00.812,,S82,Simbad,234.0096,-56.7772,2
2G0247402+0005844,24.7402,0.0584,0.18,0.99,0.56,0.8,0.09,62,52,0.82,0.08,0.14,R,,1G024743+000618,G024.750+00.063,,,Simbad,279.0516,-7.2585,2
2G0425302-0054841,42.5303,-0.5484,0.18,0.69,0.48,0.6,0.1,152,71,0.73,,0.22,C,,1G042526-005558,,,,Simbad,287.7606,8.2809,2
2G0597617-0003088,59.7617,-0.0309,0.68,0.81,0.53,0.68,0.44,64,68,0.76,0.07,0.07,C,,,G059.755-00.028,,,Simbad,295.8759,23.6684,2
2G3461113-0010907,346.1113,-0.1091,0.14,0.89,0.7,0.8,0.09,54,49,0.61,,0.31,C,,1G346111-001105,G346.112-00.111,,,Simbad,257.0582,-40.531,2
2G0134369-0023402,13.4369,-0.234,0.31,0.83,0.57,0.71,0.2,37,123,0.72,0.11,0.2,R,,1G013443-002246,G013.442-00.228,,,Simbad,273.9049,-17.3898,2
2G0232402-0023377,23.2402,-0.2338,0.18,0.9,0.87,0.88,0.11,5,63,0.24,,0.14,C,,1G023242-002328,G023.240-00.240,4.8,,Simbad,278.6164,-8.7247,2
2G3456024-0006257,345.6025,-0.0626,0.16,0.41,0.31,0.36,0.09,5,58,0.65,,0.13,C,,1G345604-000666,,,,Simbad,256.6061,-40.91,2
2G3488748+0008391,348.8748,0.0839,0.08,0.39,0.26,0.33,0.05,135,32,0.74,,0.24,C,,1G348873+000849,G348.874+00.084,,,Simbad,258.9646,-38.1853,2
2G3118220-0030208,311.822,-0.3021,0.36,1.52,1.24,1.39,0.2,24,65,0.57,,0.19,C,,1G311826-003009,G311.809-00.309,,,Simbad,211.9781,-61.8467,2
2G0196278-0011508,19.6278,-0.1151,0.44,3.34,2.15,2.81,0.41,78,55,0.77,,0.22,C,P,1G019632-001189,G019.629-00.095,11.7,,Simbad,276.8094,-11.8716,2
2G0361209+0004801,36.121,0.048,0.32,0.74,0.59,0.67,0.22,62,48,0.61,,0.24,C,,,G036.117+00.050,,,Simbad,284.2721,2.8599,2
2G0437884-0011662,43.7885,-0.1166,0.07,0.39,0.36,0.38,0.04,171,104,0.38,,0.27,C,,1G043789-001157,,,,Simbad,287.9621,9.5961,2
2G3393060+0027124,339.306,0.2712,0.85,1.82,1.42,1.63,0.48,44,94,0.62,0.22,0.22,R,,1G339299+002904,,,,Simbad,250.8059,-45.5956,2
2G0494481+0026618,49.4482,0.2662,0.25,0.47,0.3,0.4,0.2,38,11,0.78,0.07,0.18,R,,1G049449+002655,,,,Simbad,290.3169,14.7812,2
